SEGMENT TYPE,FROM KM,LH/RH,DEGREE
Transition,300,-,
Curve,350,RH,5
Transition,590,-,
Transition,659,-,
Curve,719,LH,6
Transition,1189,-,
Transition,1680,LH,
Transition,1690,-,
Transition,1700,-,
Transition,1710,-,
Transition,1720,-,
Transition,1730,-,
Transition,1740,-,
Transition,1750,-,
Transition,1760,-,
Transition,1770,-,
Curve,1780,LH,4
Transition,1850,-,
Transition,1860,-,
Transition,1870,-,
Transition,1880,-,
Curve,1890,LH,3
Transition,2020,LH,
Transition,2030,-,
Transition,2040,-,
Transition,2050,-,
Transition,2060,-,
Transition,2070,-,
Transition,2080,LH,
Transition,2090,-,
Transition,2100,-,
Transition,2110,LH,
Transition,3805,-,
Curve,3865,RH,0.75
Transition,3995,-,
Transition,6555,-,
Curve,6615,RH,1.05
Transition,6935,-,
Transition,16355,-,
Curve,16475,RH,4.28
Transition,16665,-,
Transition,18706,-,
Curve,18766,LH,0.95
Transition,19276,-,
Transition,20980,-,
Curve,21080,LH,2.02
Transition,21620,-,
Transition,22523,LH,
Transition,22533,LH,
Transition,22543,-,
Transition,22553,-,
Transition,22563,-,
Transition,22573,-,
Transition,22583,-,
Transition,22593,-,
Transition,22603,-,
Transition,22613,-,
Transition,22623,-,
Transition,22633,-,
Transition,22643,-,
Curve,22653,LH,3
Transition,22913,LH,
Transition,22923,-,
Transition,22933,-,
Transition,22943,-,
Transition,22953,-,
Transition,22963,-,
Transition,22973,-,
Transition,22983,-,
Transition,22993,-,
Transition,23003,-,
Transition,23013,-,
Transition,23023,-,
Transition,23620,-,
Curve,23680,LH,0.9
Transition,23880,-,
Transition,24377,RH,
Transition,24387,-,
Transition,24397,-,
Transition,24407,-,
Transition,24417,-,
Transition,24427,-,
Transition,24437,-,
Transition,24447,-,
Transition,24457,-,
Transition,24467,-,
Transition,24477,-,
Transition,24487,-,
Transition,24497,-,
Curve,24507,RH,3.08
Transition,24717,-,
Transition,24727,-,
Transition,24737,-,
Transition,24747,-,
Transition,24757,-,
Transition,24767,-,
Transition,24777,-,
Transition,24787,-,
Transition,24797,-,
Transition,24807,-,
Transition,24817,-,
Transition,24827,-,
Transition,24837,-,
Transition,24983,-,
Curve,25043,RH,0.85
Transition,25123,-,
Transition,27460,RH,
Transition,27470,-,
Transition,27480,RH,
Transition,27490,-,
Transition,27500,-,
Transition,27510,-,
Transition,27520,-,
Transition,27530,-,
Transition,27540,-,
Transition,27550,-,
Transition,27560,-,
Curve,27570,RH,3
Transition,27870,-,
Transition,27880,-,
Transition,27890,-,
Transition,27900,-,
Transition,27910,-,
Transition,27920,-,
Transition,27930,-,
Transition,27940,-,
Transition,27950,-,
Transition,27960,-,
Transition,27970,-,
Transition,28550,-,
Curve,28620,RH,2.2
Transition,28680,-,
Transition,28876,-,
Curve,28996,LH,2.03
Transition,29136,-,
Transition,30582,-,
Curve,30682,LH,0.96
Transition,31012,-,
Transition,33275,RH,
Transition,33285,-,
Transition,33295,-,
Transition,33305,-,
Transition,33315,-,
Transition,33325,-,
Transition,33335,-,
Transition,33345,-,
Transition,33355,-,
Transition,33365,-,
Transition,33375,-,
Transition,33385,-,
Transition,33395,-,
Curve,33405,RH,3.05
Transition,33645,-,
Transition,33655,-,
Transition,33665,-,
Transition,33675,-,
Transition,33685,-,
Transition,33695,-,
Transition,33705,-,
Transition,33715,-,
Transition,33725,-,
Transition,33735,-,
Transition,33745,-,
Transition,33755,-,
Transition,33765,-,
Transition,37932,LH,
Transition,37942,-,
Transition,37952,-,
Transition,37962,-,
Transition,37972,-,
Transition,37982,-,
Transition,37992,-,
Transition,38002,-,
Transition,38012,-,
Transition,38022,-,
Transition,38032,-,
Curve,38042,LH,3
Transition,38422,-,
Transition,38432,-,
Transition,38442,-,
Transition,38452,-,
Transition,38462,-,
Transition,38472,-,
Transition,38482,-,
Transition,38492,-,
Transition,38502,-,
Transition,38512,-,
Transition,39070,LH,
Transition,39080,-,
Transition,39090,-,
Transition,39100,-,
Transition,39110,-,
Transition,39120,-,
Transition,39130,-,
Transition,39140,-,
Transition,39150,-,
Transition,39160,-,
Transition,39170,-,
Transition,39180,-,
Curve,39190,LH,3
Transition,39390,-,
Transition,39400,-,
Transition,39410,-,
Transition,39420,-,
Transition,39430,-,
Transition,39440,-,
Transition,39450,-,
Transition,39460,-,
Transition,39470,-,
Transition,39480,-,
Transition,39490,-,
Transition,44920,-,
Curve,44980,RH,1
Transition,45030,-,
Transition,45120,-,
Curve,45160,LH,1
Transition,45210,-,
Transition,45329,-,
Curve,45369,LH,1
Transition,45419,-,
Transition,45500,-,
Curve,45540,RH,1
Transition,45590,-,
Transition,46416,RH,
Transition,46426,-,
Transition,46436,-,
Transition,46446,-,
Transition,46456,-,
Transition,46466,-,
Transition,46476,-,
Transition,46486,-,
Transition,46496,-,
Transition,46506,-,
Transition,46516,-,
Transition,46526,-,
Transition,46536,-,
Curve,46546,RH,3
Transition,46836,-,
Transition,46846,-,
Transition,46856,-,
Transition,46866,-,
Transition,46876,-,
Transition,46886,-,
Transition,46896,-,
Transition,46906,-,
Transition,46916,-,
Transition,46926,-,
Transition,46936,-,
Transition,46946,-,
Transition,46956,-,
Transition,48230,-,
Curve,48300,LH,2
Transition,48430,-,
Transition,52283,RH,
Curve,52353,RH,4
Transition,52843,RH,
Transition,52913,,
