CH,RL,R/F
0,36.532,R 1247
600,37.013,R 254
1300,39.769,R 8394
1460,39.750,F 284
1760,38.694,F 550
2060,38.148,F 5275
3000,37.970,R 582
3580,38.967,R 202
3740,39.759,R 114
4060,42.448,R  266
4360,43.576,R  413
4900,44.883,R 842
5480,45.572,R 240
6280,48.905,R 172
6500,50.184,R 371
6980,51.478,F 2648
7200,51.395,F 492
7580,50.623,F 316
7780,49.990,F 924
8560,49.146,F 237
8760,48.302,F 134
9400,43.526,F 521
9660,43.027,R 629
10020,43.599,R 6650
10340,43.647,F 920
10660,43.299,R 2800
11200,43.492,F 620
11360,43.234,F 216
11860,40.919,F 2084
12100,40.804,R 893
12300,41.028,F 887
12480,40.825,F 101
12920,36.469,F 223
13060,35.841,F 3085
13880,35.575,F 109
14500,29.887,F 472
15280,28.234,F 116
15600,25.476,LEVEL
15920,25.463,F 408
16460,24.139,F 327
16780,23.161,F 1177
17120,22.872,R 270
17300,23.539,F 241
17420,23.041,F 11838
18660,22.936,R 4815
19440,23.098,R 647
20060,24.056,F 1016
20920,23.210,R 1152
21100,23.366,F 279
21380,22.362,F 1351
21740,22.096,LEVEL
22380,22.091,R 1637
23380,22.702,R 897
23720,23.081,F 136
24040,20.728,F 258
24200,20.108,F 2933
24440,20.026,R 231
24800,21.584,F 164
25200,19.145,F  271
25320,18.703,F 108
25480,17.221,F  550
25820,16.603,F  708
26500,15.642,F  1174
27480,14.808,F  10215
28080,14.749,R  3218
28360,14.836,F 1362
28680,14.601,R 9665
29240,14.659,F 692
30000,13.561,F 1216
31100,12.656,R 2053
31420,12.812,F 4607
32300,12.621,F 4890
32740,12.531,R 960
33100,12.906,F 3468
33700,12.733,LEVEL
34680,12.747,F 8421
35000,12.709,R 743
35200,12.978,F 1176
35540,12.689,R 1472
36120,13.083,R 225
36360,14.150,F 186
36620,12.752,F 904
36900,12.442,R 1991
37280,12.633,R 168
37440,13.585,R 100
37720,16.385,F 2154
37960,16.274,R 420
38400,17.300,R 432
38740,18.087,R 714
39040,18.506,R 123
39240,20.132,F 575
39400,19.855,F 2066
39900,19.613,F 275
40100,18.886,F 10520
41580,18.745,F 236
42420,15.186,F 181
42900,12.534,F 457
43300,11.658,R 1137
43720,12.028,R 582
43940,12.406,F 328
44260,11.430,F 1076
44680,11.040,R 3729
44960,11.115,R 199
45180,12.221,F 2537
45260,12.189,F 193
45420,11.360,F 121
45580,10.038,F 6131
45860,9.992,F 1646
46400,9.664,R 331
46520,10.026,F 131
46720,8.500,F 822
47020,8.135,R 1884
47320,8.294,F 251
47880,6.063,F 1512
48320,5.772,F 382
48660,4.882,F 11849
49500,4.811,F 493
50060,3.675,LEVEL
51160,3.675,R 414
51480,4.448,F 3848
52900,4.079,R 4603
54000,4.318,LEVEL
56000,4.318,F 905
56700,3.544,R 11270
59300,3.775,F 745
60180,2.594,R 1523
60520,2.817,R 236
60820,4.088,F 428
61360,2.827,F 1693
