CH,RL,RF
0,36.532,R 1247
600,37.013,R 1247
1300,39.769,R 254
1460,39.75,R 8394
1760,38.694,F 284
2060,38.148,F 550
3000,37.97,F 5275
3580,38.967,R 582
3740,39.759,R 202
4060,42.448,R 114
4360,43.576,R  266
4900,44.883,R  413
5480,45.572,R 842
6280,48.905,R 240
6500,50.184,R 172
6980,51.478,R 371
7200,51.395,F 2648
7580,50.623,F 492
7780,49.99,F 316
8560,49.146,F 924
8760,48.302,F 237
9400,43.526,F 134
9660,43.027,F 521
10020,43.599,R 629
10340,43.647,R 6650
10660,43.299,F 920
11200,43.492,R 2800
11360,43.234,F 620
11860,40.919,F 216
12100,40.804,F 2084
12300,41.028,R 893
12480,40.825,F 887
12920,36.469,F 101
13060,35.841,F 223
13880,35.575,F 3085
14500,29.887,F 109
15280,28.234,F 472
15600,25.476,F 116
15920,25.463,LEVEL
16460,24.139,F 408
16780,23.161,F 327
17120,22.872,F 1177
17300,23.539,R 270
17420,23.041,F 241
18660,22.936,F 11838
19440,23.098,R 4815
20060,24.056,R 647
20920,23.21,F 1016
21100,23.366,R 1152
21380,22.362,F 279
21740,22.096,F 1351
22380,22.091,LEVEL
23380,22.702,R 1637
23720,23.081,R 897
24040,20.728,F 136
24200,20.108,F 258
24440,20.026,F 2933
24800,21.584,R 231
25200,19.145,F 164
25320,18.703,F  271
25480,17.221,F 108
25820,16.603,F  550
26500,15.642,F  708
27480,14.808,F  1174
28080,14.749,F  10215
28360,14.836,R  3218
28680,14.601,F 1362
29240,14.659,R 9665
30000,13.561,F 692
31100,12.656,F 1216
31420,12.812,R 2053
32300,12.621,F 4607
32740,12.531,F 4890
33100,12.906,R 960
33700,12.733,F 3468
34680,12.747,LEVEL
35000,12.709,F 8421
35200,12.978,R 743
35540,12.689,F 1176
36120,13.083,R 1472
36360,14.15,R 225
36620,12.752,F 186
36900,12.442,F 904
37280,12.633,R 1991
37440,13.585,R 168
37720,16.385,R 100
37960,16.274,F 2154
38400,17.3,R 420
38740,18.087,R 432
39040,18.506,R 714
39240,20.132,R 123
39400,19.855,F 575
39900,19.613,F 2066
40100,18.886,F 275
41580,18.745,F 10520
42420,15.186,F 236
42900,12.534,F 181
43300,11.658,F 457
43720,12.028,R 1137
43940,12.406,R 582
44260,11.43,F 328
44680,11.04,F 1076
44960,11.115,R 3729
45180,12.221,R 199
45260,12.189,F 2537
45420,11.36,F 193
45580,10.038,F 121
45860,9.992,F 6131
46400,9.664,F 1646
46520,10.026,R 331
46720,8.5,F 131
47020,8.135,F 822
47320,8.294,R 1884
47880,6.063,F 251
48320,5.772,F 1512
48660,4.882,F 382
49500,4.811,F 11849
50060,3.675,F 493
51160,3.675,LEVEL
51480,4.448,R 414
52900,4.079,F 3848
54000,4.318,R 4603
56000,4.318,LEVEL
56700,3.544,F 905
59300,3.775,R 11270
60180,2.594,F 745
60520,2.817,R 1523
60820,4.088,R 236
61360,2.827,F 428
